,Admin2,FIPS,Lat,Long_,Confirmed,Deaths,STNAME,CTYNAME,POPESTIMATE2019,Abbreviation,Mortality,Conf100,Deaths100,Ctylabel,text,text100
657,Mason,17125.0,40.23917274,-89.91824452,53,0,Illinois,Mason County,13359,IL,0.0,396.7362826558874,0.0,"Mason, IL","Mason, IL<br>Cases: 53<br>Deaths: 0","Mason, IL<br>Cases per 100k pop: 396.7<br>Deaths per 100k pop: 0.0"
658,Massac,17127.0,37.22078441,-88.71036614,40,0,Illinois,Massac County,13772,IL,0.0,290.4443799012489,0.0,"Massac, IL","Massac, IL<br>Cases: 40<br>Deaths: 0","Massac, IL<br>Cases per 100k pop: 290.4<br>Deaths per 100k pop: 0.0"
659,Menard,17129.0,40.02742725,-89.80246001,56,0,Illinois,Menard County,12196,IL,0.0,459.16693998032144,0.0,"Menard, IL","Menard, IL<br>Cases: 56<br>Deaths: 0","Menard, IL<br>Cases per 100k pop: 459.2<br>Deaths per 100k pop: 0.0"
660,Mercer,17131.0,41.20596782,-90.74290052,76,4,Illinois,Mercer County,15437,IL,5.26,492.3236380125672,25.911770421714063,"Mercer, IL","Mercer, IL<br>Cases: 76<br>Deaths: 4","Mercer, IL<br>Cases per 100k pop: 492.3<br>Deaths per 100k pop: 25.9"
661,Monroe,17133.0,38.27594376,-90.17761038,318,13,Illinois,Monroe County,34637,IL,4.09,918.0933683633109,37.532118832462395,"Monroe, IL","Monroe, IL<br>Cases: 318<br>Deaths: 13","Monroe, IL<br>Cases per 100k pop: 918.1<br>Deaths per 100k pop: 37.5"
662,Montgomery,17135.0,39.23198845,-89.47809254,169,7,Illinois,Montgomery County,28414,IL,4.14,594.7772224959527,24.63574294361934,"Montgomery, IL","Montgomery, IL<br>Cases: 169<br>Deaths: 7","Montgomery, IL<br>Cases per 100k pop: 594.8<br>Deaths per 100k pop: 24.6"
663,Morgan,17137.0,39.71654544,-90.20255104,268,6,Illinois,Morgan County,33658,IL,2.24,796.24457781211,17.82637114504724,"Morgan, IL","Morgan, IL<br>Cases: 268<br>Deaths: 6","Morgan, IL<br>Cases per 100k pop: 796.2<br>Deaths per 100k pop: 17.8"
664,Moultrie,17139.0,39.64187451,-88.62099969,74,0,Illinois,Moultrie County,14501,IL,0.0,510.3096338183573,0.0,"Moultrie, IL","Moultrie, IL<br>Cases: 74<br>Deaths: 0","Moultrie, IL<br>Cases per 100k pop: 510.3<br>Deaths per 100k pop: 0.0"
665,Ogle,17141.0,42.04165196,-89.32184679,411,5,Illinois,Ogle County,50643,IL,1.22,811.5632960132693,9.873032798214956,"Ogle, IL","Ogle, IL<br>Cases: 411<br>Deaths: 5","Ogle, IL<br>Cases per 100k pop: 811.6<br>Deaths per 100k pop: 9.9"
666,Peoria,17143.0,40.78702156,-89.76078901,1630,35,Illinois,Peoria County,179179,IL,2.15,909.7048203193455,19.53353908661171,"Peoria, IL","Peoria, IL<br>Cases: 1630<br>Deaths: 35","Peoria, IL<br>Cases per 100k pop: 909.7<br>Deaths per 100k pop: 19.5"
667,Perry,17145.0,38.08510853,-89.36856219,184,1,Illinois,Perry County,20916,IL,0.54,879.7093134442532,4.781028877414419,"Perry, IL","Perry, IL<br>Cases: 184<br>Deaths: 1","Perry, IL<br>Cases per 100k pop: 879.7<br>Deaths per 100k pop: 4.8"
668,Piatt,17147.0,40.01360584,-88.59319339,63,0,Illinois,Piatt County,16344,IL,0.0,385.4625550660793,0.0,"Piatt, IL","Piatt, IL<br>Cases: 63<br>Deaths: 0","Piatt, IL<br>Cases per 100k pop: 385.5<br>Deaths per 100k pop: 0.0"
669,Pike,17149.0,39.62265059,-90.8877017,23,0,Illinois,Pike County,15561,IL,0.0,147.8054109633057,0.0,"Pike, IL","Pike, IL<br>Cases: 23<br>Deaths: 0","Pike, IL<br>Cases per 100k pop: 147.8<br>Deaths per 100k pop: 0.0"
670,Pope,17151.0,37.41391284,-88.56152109,9,0,Illinois,Pope County,4177,IL,0.0,215.46564519990423,0.0,"Pope, IL","Pope, IL<br>Cases: 9<br>Deaths: 0","Pope, IL<br>Cases per 100k pop: 215.5<br>Deaths per 100k pop: 0.0"
671,Pulaski,17153.0,37.22631423,-89.13085001,94,1,Illinois,Pulaski County,5335,IL,1.06,1761.9493908153702,18.744142455482663,"Pulaski, IL","Pulaski, IL<br>Cases: 94<br>Deaths: 1","Pulaski, IL<br>Cases per 100k pop: 1761.9<br>Deaths per 100k pop: 18.7"
672,Putnam,17155.0,41.2013541,-89.2869272,13,0,Illinois,Putnam County,5739,IL,0.0,226.52029970378115,0.0,"Putnam, IL","Putnam, IL<br>Cases: 13<br>Deaths: 0","Putnam, IL<br>Cases per 100k pop: 226.5<br>Deaths per 100k pop: 0.0"
673,Randolph,17157.0,38.05095369,-89.82512254,470,7,Illinois,Randolph County,31782,IL,1.49,1478.824491850733,22.02504562330879,"Randolph, IL","Randolph, IL<br>Cases: 470<br>Deaths: 7","Randolph, IL<br>Cases per 100k pop: 1478.8<br>Deaths per 100k pop: 22.0"
674,Richland,17159.0,38.71240969,-88.08475366,20,0,Illinois,Richland County,15513,IL,0.0,128.92412815058339,0.0,"Richland, IL","Richland, IL<br>Cases: 20<br>Deaths: 0","Richland, IL<br>Cases per 100k pop: 128.9<br>Deaths per 100k pop: 0.0"
675,Rock Island,17161.0,41.46613806,-90.57042164,1756,36,Illinois,Rock Island County,141879,IL,2.05,1237.6743563177074,25.373733956399466,"Rock Island, IL","Rock Island, IL<br>Cases: 1756<br>Deaths: 36","Rock Island, IL<br>Cases per 100k pop: 1237.7<br>Deaths per 100k pop: 25.4"
676,St. Clair,17163.0,38.46996033,-89.93063427,4028,161,Illinois,St. Clair County,259686,IL,4.0,1551.1040256309543,61.99795137204162,"St. Clair, IL","St. Clair, IL<br>Cases: 4028<br>Deaths: 161","St. Clair, IL<br>Cases per 100k pop: 1551.1<br>Deaths per 100k pop: 62.0"
677,Saline,17165.0,37.75332999,-88.54119706,132,2,Illinois,Saline County,23491,IL,1.52,561.9173300412924,8.513898940019581,"Saline, IL","Saline, IL<br>Cases: 132<br>Deaths: 2","Saline, IL<br>Cases per 100k pop: 561.9<br>Deaths per 100k pop: 8.5"
678,Sangamon,17167.0,39.75836914,-89.65872023,1274,33,Illinois,Sangamon County,194672,IL,2.59,654.4341250924632,16.951590367387194,"Sangamon, IL","Sangamon, IL<br>Cases: 1274<br>Deaths: 33","Sangamon, IL<br>Cases per 100k pop: 654.4<br>Deaths per 100k pop: 17.0"
679,Schuyler,17169.0,40.157179799999994,-90.61114163,18,0,Illinois,Schuyler County,6768,IL,0.0,265.9574468085106,0.0,"Schuyler, IL","Schuyler, IL<br>Cases: 18<br>Deaths: 0","Schuyler, IL<br>Cases per 100k pop: 266.0<br>Deaths per 100k pop: 0.0"
680,Scott,17171.0,39.642916899999996,-90.47814431,21,0,Illinois,Scott County,4951,IL,0.0,424.1567360129267,0.0,"Scott, IL","Scott, IL<br>Cases: 21<br>Deaths: 0","Scott, IL<br>Cases per 100k pop: 424.2<br>Deaths per 100k pop: 0.0"
681,Shelby,17173.0,39.39133527,-88.80611122,80,1,Illinois,Shelby County,21634,IL,1.25,369.78829620042524,4.622353702505316,"Shelby, IL","Shelby, IL<br>Cases: 80<br>Deaths: 1","Shelby, IL<br>Cases per 100k pop: 369.8<br>Deaths per 100k pop: 4.6"
682,Stark,17175.0,41.09309773,-89.79745866,7,0,Illinois,Stark County,5342,IL,0.0,131.03706476974915,0.0,"Stark, IL","Stark, IL<br>Cases: 7<br>Deaths: 0","Stark, IL<br>Cases per 100k pop: 131.0<br>Deaths per 100k pop: 0.0"
683,Stephenson,17177.0,42.35129217,-89.662598,330,6,Illinois,Stephenson County,44498,IL,1.82,741.6063643309811,13.483752078745113,"Stephenson, IL","Stephenson, IL<br>Cases: 330<br>Deaths: 6","Stephenson, IL<br>Cases per 100k pop: 741.6<br>Deaths per 100k pop: 13.5"
684,Tazewell,17179.0,40.50716185,-89.51404662,591,8,Illinois,Tazewell County,131803,IL,1.35,448.3964704900495,6.069664575161415,"Tazewell, IL","Tazewell, IL<br>Cases: 591<br>Deaths: 8","Tazewell, IL<br>Cases per 100k pop: 448.4<br>Deaths per 100k pop: 6.1"
685,Union,17181.0,37.47119609,-89.25548938,324,23,Illinois,Union County,16653,IL,7.1,1945.595388218339,138.11325286735124,"Union, IL","Union, IL<br>Cases: 324<br>Deaths: 23","Union, IL<br>Cases per 100k pop: 1945.6<br>Deaths per 100k pop: 138.1"
686,Vermilion,17183.0,40.18417171,-87.73384359,236,2,Illinois,Vermilion County,75758,IL,0.85,311.5182554977692,2.63998521608279,"Vermilion, IL","Vermilion, IL<br>Cases: 236<br>Deaths: 2","Vermilion, IL<br>Cases per 100k pop: 311.5<br>Deaths per 100k pop: 2.6"
687,Wabash,17185.0,38.44272901,-87.84922065,35,0,Illinois,Wabash County,11520,IL,0.0,303.81944444444446,0.0,"Wabash, IL","Wabash, IL<br>Cases: 35<br>Deaths: 0","Wabash, IL<br>Cases per 100k pop: 303.8<br>Deaths per 100k pop: 0.0"
688,Warren,17187.0,40.84925021,-90.6147432,191,0,Illinois,Warren County,16844,IL,0.0,1133.934932320114,0.0,"Warren, IL","Warren, IL<br>Cases: 191<br>Deaths: 0","Warren, IL<br>Cases per 100k pop: 1133.9<br>Deaths per 100k pop: 0.0"
689,Washington,17189.0,38.35309213,-89.40982703,67,0,Illinois,Washington County,13887,IL,0.0,482.465615323684,0.0,"Washington, IL","Washington, IL<br>Cases: 67<br>Deaths: 0","Washington, IL<br>Cases per 100k pop: 482.5<br>Deaths per 100k pop: 0.0"
690,Wayne,17191.0,38.42955355,-88.42586459,62,1,Illinois,Wayne County,16215,IL,1.61,382.36201048411965,6.167129201356769,"Wayne, IL","Wayne, IL<br>Cases: 62<br>Deaths: 1","Wayne, IL<br>Cases per 100k pop: 382.4<br>Deaths per 100k pop: 6.2"
691,White,17193.0,38.08706198,-88.17657461,69,0,Illinois,White County,13537,IL,0.0,509.7141168648888,0.0,"White, IL","White, IL<br>Cases: 69<br>Deaths: 0","White, IL<br>Cases per 100k pop: 509.7<br>Deaths per 100k pop: 0.0"
692,Whiteside,17195.0,41.75509713,-89.91556058,359,17,Illinois,Whiteside County,55175,IL,4.74,650.6570004531037,30.811055731762572,"Whiteside, IL","Whiteside, IL<br>Cases: 359<br>Deaths: 17","Whiteside, IL<br>Cases per 100k pop: 650.7<br>Deaths per 100k pop: 30.8"
693,Will,17197.0,41.44619267,-87.97862712,9315,344,Illinois,Will County,690743,IL,3.69,1348.547868020378,49.80144568964145,"Will, IL","Will, IL<br>Cases: 9315<br>Deaths: 344","Will, IL<br>Cases per 100k pop: 1348.5<br>Deaths per 100k pop: 49.8"
694,Williamson,17199.0,37.73033511,-88.92994027,409,6,Illinois,Williamson County,66597,IL,1.47,614.1417781581753,9.009414838506238,"Williamson, IL","Williamson, IL<br>Cases: 409<br>Deaths: 6","Williamson, IL<br>Cases per 100k pop: 614.1<br>Deaths per 100k pop: 9.0"
695,Winnebago,17201.0,42.33641854,-89.16085327,3784,131,Illinois,Winnebago County,282572,IL,3.46,1339.127726738672,46.35986580411364,"Winnebago, IL","Winnebago, IL<br>Cases: 3784<br>Deaths: 131","Winnebago, IL<br>Cases per 100k pop: 1339.1<br>Deaths per 100k pop: 46.4"
696,Woodford,17203.0,40.78579374,-89.20973757,152,3,Illinois,Woodford County,38459,IL,1.97,395.2260849216048,7.800514833979043,"Woodford, IL","Woodford, IL<br>Cases: 152<br>Deaths: 3","Woodford, IL<br>Cases per 100k pop: 395.2<br>Deaths per 100k pop: 7.8"
697,Adams,18001.0,40.7457653,-84.93671406,102,2,Indiana,Adams County,35777,IN,1.96,285.0993655141571,5.590183637532493,"Adams, IN","Adams, IN<br>Cases: 102<br>Deaths: 2","Adams, IN<br>Cases per 100k pop: 285.1<br>Deaths per 100k pop: 5.6"
698,Allen,18003.0,41.09194313,-85.06800636,3937,163,Indiana,Allen County,379299,IN,4.14,1037.967408297939,42.974012586376446,"Allen, IN","Allen, IN<br>Cases: 3937<br>Deaths: 163","Allen, IN<br>Cases per 100k pop: 1038.0<br>Deaths per 100k pop: 43.0"
699,Bartholomew,18005.0,39.20744865,-85.89558181,801,47,Indiana,Bartholomew County,83779,IN,5.87,956.0868475393595,56.09997732128576,"Bartholomew, IN","Bartholomew, IN<br>Cases: 801<br>Deaths: 47","Bartholomew, IN<br>Cases per 100k pop: 956.1<br>Deaths per 100k pop: 56.1"
700,Benton,18007.0,40.60626947,-87.31093999,62,0,Indiana,Benton County,8748,IN,0.0,708.7334247828074,0.0,"Benton, IN","Benton, IN<br>Cases: 62<br>Deaths: 0","Benton, IN<br>Cases per 100k pop: 708.7<br>Deaths per 100k pop: 0.0"
701,Blackford,18009.0,40.47388153,-85.32499702,65,2,Indiana,Blackford County,11758,IN,3.08,552.8151046096275,17.009695526450077,"Blackford, IN","Blackford, IN<br>Cases: 65<br>Deaths: 2","Blackford, IN<br>Cases per 100k pop: 552.8<br>Deaths per 100k pop: 17.0"
702,Boone,18011.0,40.0509304,-86.46841646,683,46,Indiana,Boone County,67843,IN,6.73,1006.7361407956606,67.80360538301667,"Boone, IN","Boone, IN<br>Cases: 683<br>Deaths: 46","Boone, IN<br>Cases per 100k pop: 1006.7<br>Deaths per 100k pop: 67.8"
703,Brown,18013.0,39.19605589,-86.22868909,74,1,Indiana,Brown County,15092,IN,1.35,490.3260005300822,6.626027034190299,"Brown, IN","Brown, IN<br>Cases: 74<br>Deaths: 1","Brown, IN<br>Cases per 100k pop: 490.3<br>Deaths per 100k pop: 6.6"
704,Carroll,18015.0,40.580783200000006,-86.56198812,193,2,Indiana,Carroll County,20257,IN,1.04,952.7570716295602,9.873130275953992,"Carroll, IN","Carroll, IN<br>Cases: 193<br>Deaths: 2","Carroll, IN<br>Cases per 100k pop: 952.8<br>Deaths per 100k pop: 9.9"
705,Cass,18017.0,40.76135835,-86.34830753,1796,9,Indiana,Cass County,37689,IN,0.5,4765.3161399877945,23.8796465812306,"Cass, IN","Cass, IN<br>Cases: 1796<br>Deaths: 9","Cass, IN<br>Cases per 100k pop: 4765.3<br>Deaths per 100k pop: 23.9"
706,Clark,18019.0,38.48015445,-85.70510334,1244,47,Indiana,Clark County,118302,IN,3.78,1051.54604317763,39.7288296055857,"Clark, IN","Clark, IN<br>Cases: 1244<br>Deaths: 47","Clark, IN<br>Cases per 100k pop: 1051.5<br>Deaths per 100k pop: 39.7"
707,Clay,18021.0,39.39561833,-87.11723506,124,5,Indiana,Clay County,26225,IN,4.03,472.83126787416586,19.065776930409914,"Clay, IN","Clay, IN<br>Cases: 124<br>Deaths: 5","Clay, IN<br>Cases per 100k pop: 472.8<br>Deaths per 100k pop: 19.1"
708,Clinton,18023.0,40.30319754,-86.47277257,440,3,Indiana,Clinton County,32399,IN,0.68,1358.066606994043,9.259545047686657,"Clinton, IN","Clinton, IN<br>Cases: 440<br>Deaths: 3","Clinton, IN<br>Cases per 100k pop: 1358.1<br>Deaths per 100k pop: 9.3"
709,Crawford,18025.0,38.28814402,-86.44518825,45,0,Indiana,Crawford County,10577,IN,0.0,425.4514512621726,0.0,"Crawford, IN","Crawford, IN<br>Cases: 45<br>Deaths: 0","Crawford, IN<br>Cases per 100k pop: 425.5<br>Deaths per 100k pop: 0.0"
710,Daviess,18027.0,38.70186039,-87.07185406,273,20,Indiana,Daviess County,33351,IN,7.33,818.5661599352343,59.968216845072114,"Daviess, IN","Daviess, IN<br>Cases: 273<br>Deaths: 20","Daviess, IN<br>Cases per 100k pop: 818.6<br>Deaths per 100k pop: 60.0"
711,Dearborn,18029.0,39.14647946,-84.97333539,508,28,Indiana,Dearborn County,49458,IN,5.51,1027.1341340126976,56.61369242589672,"Dearborn, IN","Dearborn, IN<br>Cases: 508<br>Deaths: 28","Dearborn, IN<br>Cases per 100k pop: 1027.1<br>Deaths per 100k pop: 56.6"
712,Decatur,18031.0,39.30712658,-85.50087166,338,32,Indiana,Decatur County,26559,IN,9.47,1272.6382770435634,120.4864640987989,"Decatur, IN","Decatur, IN<br>Cases: 338<br>Deaths: 32","Decatur, IN<br>Cases per 100k pop: 1272.6<br>Deaths per 100k pop: 120.5"
713,DeKalb,18033.0,41.39804622,-84.99906934,235,4,Indiana,DeKalb County,43475,IN,1.7,540.5405405405405,9.200690051753881,"DeKalb, IN","DeKalb, IN<br>Cases: 235<br>Deaths: 4","DeKalb, IN<br>Cases per 100k pop: 540.5<br>Deaths per 100k pop: 9.2"
714,Delaware,18035.0,40.22787247,-85.39732772,738,52,Indiana,Delaware County,114135,IN,7.05,646.6027073202786,45.560082358610416,"Delaware, IN","Delaware, IN<br>Cases: 738<br>Deaths: 52","Delaware, IN<br>Cases per 100k pop: 646.6<br>Deaths per 100k pop: 45.6"
715,Dubois,18037.0,38.36597551,-86.87924170000002,700,12,Indiana,Dubois County,42736,IN,1.71,1637.9633096218645,28.079371022089106,"Dubois, IN","Dubois, IN<br>Cases: 700<br>Deaths: 12","Dubois, IN<br>Cases per 100k pop: 1638.0<br>Deaths per 100k pop: 28.1"
716,Elkhart,18039.0,41.59761169,-85.85875695,4883,85,Indiana,Elkhart County,206341,IN,1.74,2366.471035809655,41.19394594385023,"Elkhart, IN","Elkhart, IN<br>Cases: 4883<br>Deaths: 85","Elkhart, IN<br>Cases per 100k pop: 2366.5<br>Deaths per 100k pop: 41.2"
717,Fayette,18041.0,39.63684962,-85.17797541,190,7,Indiana,Fayette County,23102,IN,3.68,822.4396156176954,30.300406891178252,"Fayette, IN","Fayette, IN<br>Cases: 190<br>Deaths: 7","Fayette, IN<br>Cases per 100k pop: 822.4<br>Deaths per 100k pop: 30.3"
718,Floyd,18043.0,38.32117957,-85.90385377,791,46,Indiana,Floyd County,78522,IN,5.82,1007.3609943710043,58.58230814294083,"Floyd, IN","Floyd, IN<br>Cases: 791<br>Deaths: 46","Floyd, IN<br>Cases per 100k pop: 1007.4<br>Deaths per 100k pop: 58.6"
719,Fountain,18045.0,40.12361933,-87.24217689,74,2,Indiana,Fountain County,16346,IN,2.7,452.7101431542885,12.23540927444023,"Fountain, IN","Fountain, IN<br>Cases: 74<br>Deaths: 2","Fountain, IN<br>Cases per 100k pop: 452.7<br>Deaths per 100k pop: 12.2"
720,Franklin,18047.0,39.4142482,-85.06062647,243,14,Indiana,Franklin County,22758,IN,5.76,1067.7563933561823,61.51682924685825,"Franklin, IN","Franklin, IN<br>Cases: 243<br>Deaths: 14","Franklin, IN<br>Cases per 100k pop: 1067.8<br>Deaths per 100k pop: 61.5"
721,Fulton,18049.0,41.0469907,-86.26252745,169,2,Indiana,Fulton County,19974,IN,1.18,846.0999299088816,10.013016921998599,"Fulton, IN","Fulton, IN<br>Cases: 169<br>Deaths: 2","Fulton, IN<br>Cases per 100k pop: 846.1<br>Deaths per 100k pop: 10.0"
722,Gibson,18051.0,38.30393723,-87.58054938,228,4,Indiana,Gibson County,33659,IN,1.75,677.3819780742149,11.88389435217921,"Gibson, IN","Gibson, IN<br>Cases: 228<br>Deaths: 4","Gibson, IN<br>Cases per 100k pop: 677.4<br>Deaths per 100k pop: 11.9"
723,Grant,18053.0,40.51587228,-85.65468702,528,30,Indiana,Grant County,65769,IN,5.68,802.8098344204717,45.6141951375268,"Grant, IN","Grant, IN<br>Cases: 528<br>Deaths: 30","Grant, IN<br>Cases per 100k pop: 802.8<br>Deaths per 100k pop: 45.6"
724,Greene,18055.0,39.03630547,-86.96223202,251,34,Indiana,Greene County,31922,IN,13.55,786.2915857402419,106.50961719190526,"Greene, IN","Greene, IN<br>Cases: 251<br>Deaths: 34","Greene, IN<br>Cases per 100k pop: 786.3<br>Deaths per 100k pop: 106.5"
725,Hamilton,18057.0,40.07306535,-86.05244729,2803,104,Indiana,Hamilton County,338011,IN,3.71,829.2629529808202,30.76822943632012,"Hamilton, IN","Hamilton, IN<br>Cases: 2803<br>Deaths: 104","Hamilton, IN<br>Cases per 100k pop: 829.3<br>Deaths per 100k pop: 30.8"
726,Hancock,18059.0,39.82304555,-85.77566351,670,38,Indiana,Hancock County,78168,IN,5.67,857.1282366185651,48.613243270903695,"Hancock, IN","Hancock, IN<br>Cases: 670<br>Deaths: 38","Hancock, IN<br>Cases per 100k pop: 857.1<br>Deaths per 100k pop: 48.6"
727,Harrison,18061.0,38.19467379,-86.10948271,341,23,Indiana,Harrison County,40515,IN,6.74,841.6635813896088,56.769097864988275,"Harrison, IN","Harrison, IN<br>Cases: 341<br>Deaths: 23","Harrison, IN<br>Cases per 100k pop: 841.7<br>Deaths per 100k pop: 56.8"
728,Hendricks,18063.0,39.76719009,-86.51037283,1901,108,Indiana,Hendricks County,170311,IN,5.68,1116.1933169319657,63.41340254005907,"Hendricks, IN","Hendricks, IN<br>Cases: 1901<br>Deaths: 108","Hendricks, IN<br>Cases per 100k pop: 1116.2<br>Deaths per 100k pop: 63.4"
729,Henry,18065.0,39.93029017,-85.39625719,385,20,Indiana,Henry County,47972,IN,5.19,802.5514883682148,41.69098640873843,"Henry, IN","Henry, IN<br>Cases: 385<br>Deaths: 20","Henry, IN<br>Cases per 100k pop: 802.6<br>Deaths per 100k pop: 41.7"
730,Howard,18067.0,40.48527731,-86.11351892,905,65,Indiana,Howard County,82544,IN,7.18,1096.3849583252568,78.74588098468695,"Howard, IN","Howard, IN<br>Cases: 905<br>Deaths: 65","Howard, IN<br>Cases per 100k pop: 1096.4<br>Deaths per 100k pop: 78.7"
731,Huntington,18069.0,40.82907273,-85.48822092,124,3,Indiana,Huntington County,36520,IN,2.42,339.53997809419496,8.214676889375685,"Huntington, IN","Huntington, IN<br>Cases: 124<br>Deaths: 3","Huntington, IN<br>Cases per 100k pop: 339.5<br>Deaths per 100k pop: 8.2"
732,Jackson,18071.0,38.90915820000001,-86.03851889,588,5,Indiana,Jackson County,44231,IN,0.85,1329.3843684293822,11.304288847188623,"Jackson, IN","Jackson, IN<br>Cases: 588<br>Deaths: 5","Jackson, IN<br>Cases per 100k pop: 1329.4<br>Deaths per 100k pop: 11.3"
733,Jasper,18073.0,41.02078733,-87.11553319,245,2,Indiana,Jasper County,33562,IN,0.82,729.9922531434361,5.959120433823967,"Jasper, IN","Jasper, IN<br>Cases: 245<br>Deaths: 2","Jasper, IN<br>Cases per 100k pop: 730.0<br>Deaths per 100k pop: 6.0"
734,Jay,18075.0,40.43781032,-85.00576229,92,0,Indiana,Jay County,20436,IN,0.0,450.1859463691525,0.0,"Jay, IN","Jay, IN<br>Cases: 92<br>Deaths: 0","Jay, IN<br>Cases per 100k pop: 450.2<br>Deaths per 100k pop: 0.0"
735,Jefferson,18077.0,38.78576239,-85.43633383,165,2,Indiana,Jefferson County,32308,IN,1.21,510.70942181503034,6.19041723412158,"Jefferson, IN","Jefferson, IN<br>Cases: 165<br>Deaths: 2","Jefferson, IN<br>Cases per 100k pop: 510.7<br>Deaths per 100k pop: 6.2"
736,Jennings,18079.0,38.99588883,-85.62710784,226,12,Indiana,Jennings County,27735,IN,5.31,814.8548765098251,43.26663061114116,"Jennings, IN","Jennings, IN<br>Cases: 226<br>Deaths: 12","Jennings, IN<br>Cases per 100k pop: 814.9<br>Deaths per 100k pop: 43.3"
737,Johnson,18081.0,39.48994426,-86.10149107,1767,118,Indiana,Johnson County,158167,IN,6.68,1117.1736202874176,74.60468997957855,"Johnson, IN","Johnson, IN<br>Cases: 1767<br>Deaths: 118","Johnson, IN<br>Cases per 100k pop: 1117.2<br>Deaths per 100k pop: 74.6"
738,Knox,18083.0,38.68861576,-87.4194665,159,0,Indiana,Knox County,36594,IN,0.0,434.4974585997705,0.0,"Knox, IN","Knox, IN<br>Cases: 159<br>Deaths: 0","Knox, IN<br>Cases per 100k pop: 434.5<br>Deaths per 100k pop: 0.0"
739,Kosciusko,18085.0,41.24521668,-85.86312322,862,12,Indiana,Kosciusko County,79456,IN,1.39,1084.8771647200967,15.102698348771646,"Kosciusko, IN","Kosciusko, IN<br>Cases: 862<br>Deaths: 12","Kosciusko, IN<br>Cases per 100k pop: 1084.9<br>Deaths per 100k pop: 15.1"
740,LaGrange,18087.0,41.64232188,-85.42674232,559,10,Indiana,LaGrange County,39614,IN,1.79,1411.1172817690715,25.243600747210582,"LaGrange, IN","LaGrange, IN<br>Cases: 559<br>Deaths: 10","LaGrange, IN<br>Cases per 100k pop: 1411.1<br>Deaths per 100k pop: 25.2"
741,Lake,18089.0,41.41874274,-87.38277575,7632,275,Indiana,Lake County,485493,IN,3.6,1572.0103070487114,56.64345314968496,"Lake, IN","Lake, IN<br>Cases: 7632<br>Deaths: 275","Lake, IN<br>Cases per 100k pop: 1572.0<br>Deaths per 100k pop: 56.6"
742,LaPorte,18091.0,41.54366008,-86.74072188,921,30,Indiana,LaPorte County,109888,IN,3.26,838.1260920209668,27.300524170064065,"LaPorte, IN","LaPorte, IN<br>Cases: 921<br>Deaths: 30","LaPorte, IN<br>Cases per 100k pop: 838.1<br>Deaths per 100k pop: 27.3"
743,Lawrence,18093.0,38.84112637,-86.48361629,350,27,Indiana,Lawrence County,45370,IN,7.71,771.4348688560723,59.51068988318272,"Lawrence, IN","Lawrence, IN<br>Cases: 350<br>Deaths: 27","Lawrence, IN<br>Cases per 100k pop: 771.4<br>Deaths per 100k pop: 59.5"
744,Madison,18095.0,40.16143691,-85.71964711,987,65,Indiana,Madison County,129569,IN,6.59,761.756284296398,50.16632064768579,"Madison, IN","Madison, IN<br>Cases: 987<br>Deaths: 65","Madison, IN<br>Cases per 100k pop: 761.8<br>Deaths per 100k pop: 50.2"
745,Marion,18097.0,39.78163624,-86.13826325,15963,725,Indiana,Marion County,964582,IN,4.54,1654.9137346539744,75.16209093679957,"Marion, IN","Marion, IN<br>Cases: 15963<br>Deaths: 725","Marion, IN<br>Cases per 100k pop: 1654.9<br>Deaths per 100k pop: 75.2"
746,Marshall,18099.0,41.32467367,-86.26185087,790,22,Indiana,Marshall County,46258,IN,2.78,1707.8127026676466,47.55934108694712,"Marshall, IN","Marshall, IN<br>Cases: 790<br>Deaths: 22","Marshall, IN<br>Cases per 100k pop: 1707.8<br>Deaths per 100k pop: 47.6"
747,Martin,18101.0,38.7099921,-86.80373186,45,0,Indiana,Martin County,10255,IN,0.0,438.81033642125794,0.0,"Martin, IN","Martin, IN<br>Cases: 45<br>Deaths: 0","Martin, IN<br>Cases per 100k pop: 438.8<br>Deaths per 100k pop: 0.0"
748,Miami,18103.0,40.76940965,-86.04525048,274,2,Indiana,Miami County,35516,IN,0.73,771.4832751435972,5.631264782070053,"Miami, IN","Miami, IN<br>Cases: 274<br>Deaths: 2","Miami, IN<br>Cases per 100k pop: 771.5<br>Deaths per 100k pop: 5.6"
749,Monroe,18105.0,39.16130004,-86.52414358,759,30,Indiana,Monroe County,148431,IN,3.95,511.3487074802433,20.21141136285547,"Monroe, IN","Monroe, IN<br>Cases: 759<br>Deaths: 30","Monroe, IN<br>Cases per 100k pop: 511.3<br>Deaths per 100k pop: 20.2"
750,Montgomery,18107.0,40.04034823,-86.89335024,354,21,Indiana,Montgomery County,38338,IN,5.93,923.3658511137775,54.775940320308834,"Montgomery, IN","Montgomery, IN<br>Cases: 354<br>Deaths: 21","Montgomery, IN<br>Cases per 100k pop: 923.4<br>Deaths per 100k pop: 54.8"
751,Morgan,18109.0,39.47899078,-86.44573375,483,34,Indiana,Morgan County,70489,IN,7.04,685.2132956915264,48.23447630126687,"Morgan, IN","Morgan, IN<br>Cases: 483<br>Deaths: 34","Morgan, IN<br>Cases per 100k pop: 685.2<br>Deaths per 100k pop: 48.2"
